"","coordenadas","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","media","predictLMLOG","predictRF","predictRFlog"
"149","-10,104",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1
"150","-10,105",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"151","-10,106",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1
"152","-10,107",0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,1,2,1,2,1,2
"153","-10,108",0,0,0,0,0,0,0,0,3,4,0,0,1,0,0,0,1,0,0,0,2,0,1
"154","-10,109",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1
"155","-10,110",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"156","-10,111",0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,1,1,0,2,0,1
"157","-10,112",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,2,0,1
"158","-10,113",0,0,0,0,0,0,0,0,1,1,2,0,2,5,50,9,2,0,1,4,2,3,4
"159","-10,114",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1
"160","-10,115",0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,0,1,0,0,2,0,1
"161","-10,116",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2,0,1
"162","-10,117",0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,2,0,1
"163","-10,118",0,0,0,0,0,0,0,0,1,0,1,11,0,0,1,2,3,1,2,1,2,1,2
"164","-10,119",0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,3,1,8,1,2,1,2
"165","-10,120",0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,5,4,0,1,2,1,2
"166","-10,121",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,1
"167","-10,122",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"168","-10,123",0,0,0,0,0,0,0,0,1,1,0,1,2,3,1,3,4,3,6,1,2,1,2
"169","-10,124",0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,2,1,0,3,1,2,1,2
"170","-10,125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"171","-10,126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"172","-10,151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1
"173","-10,152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1
"174","-10,159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1
"175","-10,160",0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,1,0,1,14,1,2,1,2
"176","-10,161",0,0,0,0,0,0,0,3,3,4,12,7,10,8,10,14,11,8,89,9,4,9,9
"177","-10,162",0,0,0,0,0,0,3,1,0,1,1,3,3,2,1,2,7,4,4,2,2,2,3
"178","-10,163",0,0,0,0,0,0,2,2,1,1,6,0,1,2,2,1,4,10,3,2,2,2,3
"179","-10,164",0,0,0,0,0,0,0,1,3,1,6,3,2,2,3,43,1,16,6,5,3,4,5
"180","-10,165",0,0,0,0,0,0,0,0,3,2,2,6,5,5,16,114,7,6,5,9,3,7,8
"181","-10,166",0,0,0,0,0,0,0,1,0,4,2,1,2,2,6,39,2,6,3,4,3,3,4
"182","-10,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,1
