;Coordenadas;RECENCIA;FRECUENCIA;MAGNITUD
408;-88,-131;0;0;0
409;-88,-130;0;0;0
410;-88,-129;0;0;0
411;-88,-128;0;0;0
412;-88,-127;0;0;0
413;-88,-126;0;0;0
414;-88,-125;0;0;0
415;-88,-124;0;0;0
416;-88,-123;0;0;0
417;-88,-122;0;0;0
418;-88,-121;0;0;0
419;-88,-120;0;0;0
420;-88,-119;0;0;0
421;-88,-118;0;0;0
422;-88,-117;0;0;0
423;-88,-116;0;0;0
424;-88,-115;0;0;0
425;-88,-114;0;0;0
426;-88,-113;0;0;0
427;-88,-112;0;0;0
428;-88,-111;0;0;0
429;-88,-110;0;0;0
430;-88,-109;0;0;0
431;-88,-108;0;0;0
432;-88,-107;0;0;0
433;-88,-106;0;0;0
434;-88,-105;0;0;0
435;-88,-104;0;0;0
436;-88,-103;0;0;0
437;-88,-102;0;0;0
438;-88,-101;0;0;0
439;-88,-100;0;0;0
440;-88,-99;0;0;0
441;-88,-98;0;0;0
442;-88,-97;0;0;0
443;-88,-96;0;0;0
444;-88,-95;0;0;0
445;-88,-94;0;0;0
446;-88,-93;0;0;0
447;-88,-92;0;0;0
448;-88,-91;0;0;0
449;-88,-90;0;0;0
450;-88,-89;0;0;0
451;-88,-88;0;0;0
452;-88,-87;0;0;0
453;-88,-86;0;0;0
454;-88,-85;0;0;0
455;-88,-84;0;0;0
456;-88,-83;0;0;0
457;-88,-82;0;0;0
458;-88,-81;0;0;0
459;-88,-80;0;0;0
460;-88,-79;0;0;0
461;-88,-78;0;0;0
462;-88,-77;0;0;0
463;-88,-76;0;0;0
464;-88,-75;0;0;0
465;-88,-74;0;0;0
466;-88,-73;0;0;0
467;-88,-72;0;0;0
468;-88,-71;0;0;0
469;-88,-70;0;0;0
470;-88,-69;0;0;0
471;-88,-68;0;0;0
472;-88,-67;0;0;0
473;-88,-66;0;0;0
474;-88,-65;0;0;0
475;-88,-64;0;0;0
476;-88,-63;0;0;0
477;-88,-62;0;0;0
478;-88,-61;0;0;0
479;-88,-60;0;0;0
480;-88,-59;0;0;0
481;-88,-58;0;0;0
482;-88,-57;0;0;0
483;-88,-56;0;0;0
484;-88,-55;0;0;0
485;-88,-54;0;0;0
486;-88,-53;0;0;0
487;-88,-52;0;0;0
488;-88,-51;0;0;0
489;-88,-50;0;0;0
490;-88,-49;0;0;0
491;-88,-48;0;0;0
492;-88,-47;0;0;0
493;-88,-46;0;0;0
494;-88,-45;0;0;0
495;-88,-44;0;0;0
496;-88,-43;0;0;0
497;-88,-42;0;0;0
498;-88,-41;0;0;0
499;-88,-40;0;0;0
500;-88,-39;0;0;0
501;-88,-38;0;0;0
502;-88,-37;0;0;0
503;-88,-36;0;0;0
504;-88,-35;0;0;0
505;-88,-34;0;0;0
506;-88,-33;0;0;0
507;-88,-32;0;0;0
508;-88,-31;0;0;0
509;-88,-30;0;0;0
510;-88,-29;0;0;0
511;-88,-28;0;0;0
512;-88,-27;0;0;0
513;-88,-26;0;0;0
514;-88,-25;0;0;0
515;-88,-24;0;0;0
516;-88,-23;0;0;0
517;-88,-22;0;0;0
518;-88,-21;0;0;0
519;-88,-20;0;0;0
520;-88,-19;0;0;0
521;-88,-18;0;0;0
522;-88,-17;0;0;0
523;-88,-16;0;0;0
524;-88,-15;0;0;0
525;-88,-14;0;0;0
526;-88,-13;0;0;0
527;-88,-12;0;0;0
528;-88,-11;0;0;0
529;-88,-10;0;0;0
530;-88,-9;0;0;0
531;-88,-8;0;0;0
532;-88,-7;0;0;0
533;-88,-6;0;0;0
534;-88,-5;0;0;0
535;-88,-4;0;0;0
536;-88,-3;0;0;0
537;-88,-2;0;0;0
538;-88,-1;0;0;0
539;-88,-0;0;0;0
540;-88,0;0;0;0
541;-88,1;0;0;0
542;-88,2;0;0;0
543;-88,3;0;0;0
544;-88,4;0;0;0
545;-88,5;0;0;0
546;-88,6;0;0;0
547;-88,7;0;0;0
548;-88,8;0;0;0
549;-88,9;0;0;0
550;-88,10;0;0;0
551;-88,11;0;0;0
552;-88,12;0;0;0
553;-88,13;0;0;0
554;-88,14;0;0;0
555;-88,15;0;0;0
556;-88,16;0;0;0
557;-88,17;0;0;0
558;-88,18;0;0;0
559;-88,19;0;0;0
560;-88,20;0;0;0
561;-88,21;0;0;0
562;-88,22;0;0;0
563;-88,23;0;0;0
564;-88,24;0;0;0
565;-88,25;0;0;0
566;-88,26;0;0;0
567;-88,27;0;0;0
568;-88,28;0;0;0
569;-88,29;0;0;0
570;-88,30;0;0;0
571;-88,31;0;0;0
572;-88,32;0;0;0
573;-88,33;0;0;0
574;-88,34;0;0;0
575;-88,35;0;0;0
576;-88,36;0;0;0
577;-88,37;0;0;0
578;-88,38;0;0;0
579;-88,39;0;0;0
580;-88,40;0;0;0
581;-88,41;0;0;0
582;-88,42;0;0;0
583;-88,43;0;0;0
584;-88,44;0;0;0
585;-88,45;0;0;0
586;-88,46;0;0;0
587;-88,47;0;0;0
588;-88,48;0;0;0
589;-88,49;0;0;0
590;-88,50;0;0;0
