"","coordenadas","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"220","-11,125",1663,1,4.8,7
"221","-11,129",1518,1,4.9,7
"222","-11,160",1052,1,4.6,6
"223","-11,161",21,39,4.95128205128205,5
"224","-11,162",21,65,5.03076923076923,5
"225","-11,163",146,22,4.96363636363636,5
"226","-11,164",324,25,5.056,5
"227","-11,165",81,112,5.01339285714286,5
"228","-11,166",95,57,4.92982456140351,5
"229","-11,167",692,1,4.9,3
"230","-11,168",0,0,0,8
"231","-11,34",0,0,0,8
"232","-11,42",1383,1,4.7,7
"233","-11,66",226,1,5,5
"234","-11,78",0,0,0,8
"235","-11,89",70,1,4.6,5
"236","-12,-14",186,6,5.05,5
"237","-12,-174",59,1,5.1,5
"238","-12,-176",964,1,4.8,6
"239","-12,-68",0,0,0,8
"240","-12,-71",1463,1,5.2,7
"241","-12,-72",736,1,4.7,3
"242","-12,-73",664,1,4.5,3
"243","-12,-74",0,0,0,8
"244","-12,-75",59,5,4.44,5
"245","-12,-76",66,14,4.65,5
"246","-12,-77",7,13,4.23076923076923,5
"247","-12,-78",78,1,4.3,5
"248","-12,101",0,0,0,8
"249","-12,104",390,1,4.6,3
"250","-12,109",1593,1,4.8,7
"251","-12,112",1026,1,4.2,6
"252","-12,113",979,1,4.2,6
"253","-12,114",0,0,0,8
"254","-12,117",0,0,0,8
"255","-12,119",0,0,0,8
"256","-12,121",1353,1,5.8,7
"257","-12,129",820,1,4.4,6
"258","-12,130",417,1,3,3
"259","-12,165",595,8,4.9125,3
"260","-12,166",68,31,4.90645161290323,5
"261","-12,167",78,17,4.69411764705882,5
"262","-12,168",1306,1,4.9,7
"263","-12,169",52,11,4.66363636363636,5
"264","-12,41",0,0,0,8
"265","-12,43",102,1,5.1,5
"266","-12,44",458,2,4.65,3
"267","-12,46",0,0,0,8
"268","-12,63",0,0,0,8
"269","-12,65",173,3,4.86666666666667,5
"270","-12,66",0,0,0,8
"271","-13,-111",544,5,4.98,3
"272","-13,-112",634,2,4.7,3
"273","-13,-14",511,3,5.03333333333333,3
"274","-13,-142",217,1,4.6,5
"275","-13,-172",0,0,0,8
"276","-13,-173",0,0,0,8
"277","-13,-174",0,0,0,8
"278","-13,-177",0,0,0,8
"279","-13,-21",0,0,0,8
"280","-13,-49",0,0,0,8
"281","-13,-69",308,2,4.75,5
"282","-13,-70",359,2,4.7,3
"283","-13,-71",545,3,4.8,3
"284","-13,-72",1098,4,4.825,6
"285","-13,-73",230,2,4.75,5
"286","-13,-74",151,2,4.55,5
"287","-13,-75",11,8,4.6,5
"288","-13,-76",7,14,4.42857142857143,5
"289","-13,-77",0,0,0,8
"290","-13,129",366,1,3.2,3
"291","-13,131",450,1,2.3,3
"292","-13,165",68,2,5.15,5
"293","-13,166",61,19,5.16315789473684,5
"294","-13,167",66,23,4.93478260869565,5
"295","-13,168",579,1,4.7,3
"296","-13,169",550,2,4.7,3
"297","-13,170",0,0,0,8
"298","-13,171",273,1,4.6,5
"299","-13,172",345,2,5.6,5
"300","-13,176",0,0,0,8
"301","-13,25",85,1,3,4
"302","-13,31",1187,1,4.4,6
"303","-13,32",505,1,3.8,3
"304","-13,34",0,0,0,8
"305","-13,40",1784,1,5,7
"306","-13,65",632,1,5.7,3
"307","-13,66",319,6,4.83333333333333,5
"308","-14,-13",0,0,0,8
"309","-14,-14",1046,2,5.1,6
"310","-14,-15",925,1,4.7,6
"311","-14,-16",0,0,0,8
"312","-14,-172",543,2,4.7,3
"313","-14,-173",183,6,5.06666666666667,5
"314","-14,-174",85,2,4.9,5
"315","-14,-175",176,6,5.4,5
"316","-14,-176",397,4,5.325,3
"317","-14,-177",1640,2,4.7,7
"318","-14,-178",392,1,4.2,3
"319","-14,-44",0,0,0,8
"320","-14,-70",193,4,4.725,5
"321","-14,-71",621,7,4.95714285714286,3
"322","-14,-72",13,5,4.6,5
"323","-14,-73",52,11,4.78181818181818,5
"324","-14,-74",23,8,4.2125,5
"325","-14,-75",26,21,4.73809523809524,5
"326","-14,-76",26,20,4.67,5
"327","-14,-77",1233,1,4.6,6
"328","-14,165",184,1,4.6,5
"329","-14,166",64,70,4.97142857142857,5
"330","-14,167",18,85,4.80705882352941,5
"331","-14,168",191,2,4.85,5
"332","-14,169",1033,2,5.45,6
"333","-14,170",1033,1,4.5,6
"334","-14,171",118,2,4.35,5
"335","-14,172",172,4,4.675,5
"336","-14,173",1509,1,5.3,7
"337","-14,177",0,0,0,8
"338","-14,23",0,0,0,8
"339","-14,25",892,1,4.6,6
"340","-14,50",429,1,4.7,3
"341","-14,65",0,0,0,8
"342","-14,66",277,7,4.81428571428571,5
"343","-14,67",0,0,0,8
"344","-14,88",0,0,0,8
"345","-14,98",0,0,0,8
"346","-15,-12",165,1,5.1,5
"347","-15,-13",165,4,5.125,5
"348","-15,-169",0,0,0,8
"349","-15,-171",261,3,4.73333333333333,5
"350","-15,-172",175,20,4.96,5
"351","-15,-173",76,94,5.02446808510638,5
"352","-15,-174",67,22,4.93636363636364,5
"353","-15,-175",68,12,4.99166666666667,5
"354","-15,-176",11,6,4.81666666666667,5
"355","-15,-177",317,25,4.7,5
"356","-15,-178",419,5,4.72,3
"357","-15,-179",202,6,4.78333333333333,5
"358","-15,-65",0,0,0,8
"359","-15,-68",290,1,4.2,5
"360","-15,-69",214,5,4.76,5
"361","-15,-70",8,41,4.30975609756098,5
"362","-15,-71",2,43,4.51860465116279,5
"363","-15,-72",2,44,4.52272727272727,5
"364","-15,-73",55,19,4.72631578947368,5
"365","-15,-74",11,24,4.625,5
"366","-15,-75",15,27,4.52222222222222,5
"367","-15,-76",306,3,4.53333333333333,5
"368","-15,164",212,1,4.3,5
"369","-15,165",0,0,0,8
"370","-15,166",226,6,4.73333333333333,5
"371","-15,167",12,51,4.97254901960784,5
"372","-15,168",195,10,4.77,5
"373","-15,170",1035,1,4.7,6
"374","-15,173",137,2,5.5,5
"375","-15,176",329,1,4.5,3
"376","-15,177",1607,1,4.9,7
"377","-15,178",1578,1,4.7,7
"378","-15,179",345,1,4.9,3
"379","-15,25",442,1,3.4,3
"380","-15,27",0,0,0,8
"381","-15,31",128,1,3.5,5
"382","-15,41",536,2,5,3
"383","-15,66",950,1,5.1,6
"384","-15,67",607,2,5.2,3
"385","-15,68",0,0,0,8
"386","-16,-11",0,0,0,8
"387","-16,-115",0,0,0,8
"388","-16,-14",579,16,5.0875,3
"389","-16,-15",0,0,0,8
"390","-16,-171",823,2,5.1,6
"391","-16,-172",157,16,4.7625,5
"392","-16,-173",52,46,4.94347826086956,5
"393","-16,-174",96,23,4.8,5
"394","-16,-175",212,9,4.5,5
"395","-16,-176",341,6,4.7,3
"396","-16,-177",205,13,4.95384615384615,5
"397","-16,-178",132,4,5.15,5
"398","-16,-179",27,4,4.725,5
"399","-16,-23",0,0,0,8
"400","-16,-67",823,1,4.9,6
"401","-16,-68",0,0,0,8
"402","-16,-69",56,26,4.34615384615385,5
"403","-16,-70",212,18,4.48333333333333,5
"404","-16,-71",61,22,4.25909090909091,5
"405","-16,-72",8,31,4.33870967741935,5
"406","-16,-73",8,21,4.44761904761905,5
"407","-16,-74",61,9,4.44444444444444,5
"408","-16,-75",69,3,4.43333333333333,5
"409","-16,-76",1424,1,4.4,7
"410","-16,118",236,1,5,5
"411","-16,121",0,0,0,8
"412","-16,123",118,1,3.3,5
"413","-16,125",112,1,2.7,4
"414","-16,128",400,1,2.9,3
"415","-16,132",380,1,3.3,3
"416","-16,166",247,3,4.7,5
"417","-16,167",175,32,5.078125,5
"418","-16,168",63,15,5.03333333333333,5
"419","-16,171",1818,1,5.2,7
"420","-16,172",0,0,0,8
"421","-16,173",137,1,5,5
"422","-16,174",0,0,0,8
"423","-16,175",388,8,5.075,3
"424","-16,176",119,4,4.725,5
"425","-16,177",513,6,4.91666666666667,3
"426","-16,178",70,4,5.05,5
"427","-16,179",760,1,4.9,6
"428","-16,28",358,1,4.9,3
"429","-16,35",495,1,4.7,3
"430","-16,36",1694,1,4.6,7
"431","-16,41",455,2,4.8,3
"432","-16,43",35,1,4.8,5
"433","-16,66",326,3,4.93333333333333,5
"434","-16,67",432,2,5,3
"435","-17,-12",0,0,0,8
"436","-17,-13",1380,2,5.05,7
"437","-17,-14",659,1,4.7,3
"438","-17,-149",1599,1,4.8,7
"439","-17,-171",322,1,5.4,5
"440","-17,-172",30,33,4.96666666666667,5
"441","-17,-173",27,21,5.01904761904762,5
"442","-17,-174",27,27,4.66296296296296,5
"443","-17,-175",22,6,5.16666666666667,5
"444","-17,-176",33,13,4.87692307692308,5
"445","-17,-177",82,19,4.62105263157895,5
"446","-17,-178",12,210,4.63,4
"447","-17,-179",73,20,4.45,5
"448","-17,-63",898,1,4.5,6
"449","-17,-64",0,0,0,8
"450","-17,-65",0,0,0,8
"451","-17,-66",357,3,3.86666666666667,3
"452","-17,-68",1198,1,3.6,6
